Type of Disaster,Number,Event,Period,Compiled using preliminary data,Begin Date,End Date,Summary,CPI-AdjustedEstimatedCost(inBillions),More than $1B after CPI adjustment,Deaths
Wildfire,1,"Western Wildfires, California Firestorm",Summer-Fall 2017,Y,1 06 2017,31 12 2017,"A historic firestorm damages or destroys over 15,000 homes, businesses and other structures across California in October. The combined destruction of the Tubbs, Atlas, Nuns and Redwood Valley wildfires represent the most costly wildfire event on record, also causing 44 deaths. Extreme wildfire conditions in early December also burned hundreds of homes in Los Angeles. Numerous other wildfires across many western and northwestern states burn over 9.8 million acres exceeding the 10-year annual average of 6.5 million acres. Montana in particular was affected by wildfires that burned in excess of 1 million acres. These wildfire conditions were enhanced by the preceding drought conditions in several states.",$20.30,,54
Drought,4,"North Dakota, South Dakota and Montana Drought",Spring-Fall 2017,Y,1 03 2017,31 12 2017,"Extreme drought causes extensive impacts to agriculture in North Dakota, South Dakota and Montana. Field crops including wheat were severely damaged and the lack of feed for cattle forced ranchers to sell off livestock. This drought has also contributed to the increased potential for severe wildfires.",$2.80,,0
Tropical Cyclone,7,Hurricane Maria, Sep 2017,Y,19 09 2017,21 09 2017,"Category 4 hurricane made landfall in southeast Puerto Rico after striking the U.S. Virgin Island of St. Croix. Maria's high winds caused widespread devastation to Puerto Rico's transportation, agriculture, communication and energy infrastructure. Extreme rainfall up to 37 inches caused widespread flooding and mudslides across the island. The interruption to commerce and standard living conditions will be sustained for a long period, as much of Puerto Rico's infrastructure is rebuilt. Maria tied Hurricane Wilma (2005) for the most rapid intensification, strengthening from tropical depression to a category 5 storm in 54 hours. Maria's landfall at Category 4 strength gives the U.S. a record three Category 4+ landfalls this year (Maria, Harvey, and Irma). Maria was one of the deadliest storms to impact the U.S., with numerous indirect deaths in the wake of the storm's devastation.",$101.70,,"2,981"
Tropical Cyclone,10,Hurricane Irma, Sep 2017,Y,6 09 2017,12 09 2017,"Category 4 hurricane made landfall at Cudjoe Key, Florida after devastating the U.S. Virgin Islands - St John and St Thomas - as a category 5 storm. The Florida Keys were heavily impacted, as 25% of buildings were destroyed while 65% were significantly damaged. Severe wind and storm surge damage also occurred along the coasts of Florida and South Carolina. Jacksonville, FL and Charleston, SC received near-historic levels of storm surge causing significant coastal flooding. Irma maintained a maximum sustained wind of 185 mph for 37 hours, the longest in the satellite era. Irma also was a category 5 storm for longer than all other Atlantic hurricanes except Ivan in 2004.",$56.50,,97
Tropical Cyclone,13,Hurricane Harvey, Aug 2017,Y,25 08 2017,31 08 2017,"Category 4 hurricane made landfall near Rockport, Texas causing widespread damage. Harvey's devastation was most pronounced due to the large region of extreme rainfall producing historic flooding across Houston and surrounding areas. More than 30 inches of rainfall fell on 6.9 million people, while 1.25 million experienced over 45 inches and 11,000 had over 50 inches, based on 7-day rainfall totals ending August 31. This historic U.S. rainfall caused massive flooding that displaced over 30,000 people and damaged or destroyed over 200,000 homes and businesses.",$141.30,,89
Severe Storm,16,Midwest Severe Weather, Jun 2017,Y,27 06 2017,29 06 2017,"Severe hail and high wind damage impacting Nebraska, Illinois and Iowa. More than one dozen tornadoes touched down across parts of Iowa, in addition to other storm damage.",$1.60,,0
Severe Storm,19,Midwest Severe Weather, Jun 2017,Y,12 06 2017,16 06 2017,"Severe hail, high winds and numerous tornadoes impact many states over several days including WY, TX, NE, KS, MO, IA, IL, PA, VA, NY.",$1.70,,0
Severe Storm,22,Minnesota Hail Storm and Upper Midwest Severe Weather, Jun 2017,Y,9 06 2017,11 06 2017,"Severe hail and high winds cause considerable damage across Minnesota and Wisconsin. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly.",$2.70,,0
Severe Storm,25,Colorado Hail Storm and Central Severe Weather, May 2017,Y,8 05 2017,11 05 2017,"Hail storm and wind damage impacting several states including CO, OK, TX, NM, MO. The most costly impacts were in the Denver metro region where baseball-sized hail caused the most expensive hail storm in Colorado history, with insured losses exceeding $2.2 ($2.5) billion.",$3.80,,0
Flooding,28,Missouri and Arkansas Flooding and Central Severe Weather, May 2017,Y,25 04 2017,7 05 2017,"A period of heavy rainfall up to 15 inches over a multi-state region in the Midwest caused historic levels of flooding along many rivers. The flooding was most severe in Missouri, Arkansas and southern Illinois where levees were breached and towns were flooded. There was widespread damage to homes, businesses, infrastructure and agriculture. Severe storms also caused additional impacts during the flooding event across a number of central and southern states.",$1.90,,20
Severe Storm,31,South/ Southeast Severe Weather, Mar 2017,Y,26 03 2017,28 03 2017,"Large hail and high winds in Texas north of the Dallas metro region caused widespread damage to structures and vehicles. Severe storms also caused damage across several other states (OK, TN, KY, MS, AL) due to the combination of high winds, hail and tornadoes.",$3.10,,0
Freeze,34,Southeast Freeze, Mar 2017,Y,14 03 2017,16 03 2017,"Severe freeze heavily damaged fruit crops across several southeastern states (SC, GA, NC, TN, AL, MS, FL, KY, VA). Mid-March freezes are not climatologically unusual in the Southeast, however many crops were blooming 3+ weeks early due to unusually warm temperatures during the preceding weeks. Damage was most severe in Georgia and South Carolina. Crops most impacted include peaches, blueberries, strawberries and apples, among others.",$1.10,,0
Severe Storm,37,Midwest Tornado Outbreak, Mar 2017,Y,6 03 2017,8 03 2017,"Tornado outbreak and wind damage across many Midwestern states (AR, IA, IL, KS, MI, MN, MO, NE, NY, OH, WI). Missouri and Illinois were impacted by numerous tornadoes while Michigan and New York were affected by destructive, straight-line winds following the storm system. Nearly one million customers lost power in Michigan alone due to sustained high winds, which affected several states from Illinois to New York.",$2.50,,2
Severe Storm,40,Central/ Southeast Tornado Outbreak, Mar 2017,Y,28 02 2017,1 03 2017,Over 70 tornadoes developed during a widespread outbreak across many central and southern states causing significant damage. There was also widespread straight-line wind and hail damage. This was the second largest tornado outbreak to occur early in 2017.,$2.10,,6
Severe Storm,43,California Flooding, Feb 2017,Y,8 02 2017,22 02 2017,"Heavy, persistent rainfall across northern and central California created substantial property and infrastructure damage from flooding, landslides and erosion. Notable impacts include severe damage to the Oroville Dam spillway, which caused a multi-day evacuation of 188,000 residents downstream. Excessive rainfall also caused flood damage in the city of San Jose, as Coyote Creek overflowed its banks and inundated neighborhoods forcing 14,000 residents to evacuate.",$1.70,,5
Severe Storm,46,Southern Tornado Outbreak and Western Storms, Jan 2017,Y,20 01 2017,22 01 2017,"High wind damage occurred across southern California near San Diego followed by 79 confirmed tornadoes during an outbreak across many southern states including AL, FL, GA, LA, MS, SC and TX. This was the 3rd most tornadoes to occur in a single outbreak of extreme weather during a winter month (Dec.-Feb.) based on records from 1950.",$1.30,,24
Wildfire,49,Western/ Southeast Wildfires,Summer-Fall 2016,Y,1 06 2016,31 12 2016,"Western and Southern states experienced an active wildfire season with over 5.0 million acres burned nationally. Most notable was the firestorm that impacted Gatlinburg, Tennessee with hurricane-force wind gusts in extremely dry conditions creating volatile wildfire behavior. These wildfires destroyed nearly 2,500 structures and caused 14 fatalities. The drought conditions in many areas of the Southeast and California worsened the wildfire potential.",$2.80,,21
Drought,52,West/ Northeast/ Southeast Drought, Jul 1905,Y,1 01 2016,31 12 2016,"California's 5-year drought persisted during 2016 while new areas of extreme drought developed in states across the Northeast and Southeast. The long-term impacts of the drought in California have damaged forests where 100+ million trees have perished and are a public safety hazard. The agricultural impacts were reduced in California as water prices and crop fallowing declined. However, agricultural impacts developed in Northeast and Southeast due to stressed water supplies.",$4.00,,0
Severe Storm,55,Hurricane Matthew, Oct 2016,Y,8 10 2016,12 10 2016,"Category 1 hurricane made landfall in North Carolina, after it paralleled the Southeast coast along Florida, Georgia and the Carolinas causing widespread damage from wind, storm surge and inland flooding. The most costly impacts were due to historic levels of river flooding in eastern North Carolina where 100,000 homes, businesses and other structures were damaged. This inland flooding was comparable to Hurricane Floyd (1999) that also impacted eastern North Carolina. Matthew narrowly missed landall on Florida's east coast as a powerful category 4 storm.",$11.70,,49
Flooding,58,Louisiana Flooding, Aug 2016,,12 08 2016,15 08 2016,"A historic flood devastated a large area of southern Louisiana resulting from 20 to 30 inches of rainfall over several days. Watson, Louisiana received an astounding 31.39 inches of rain from the storm. Two-day rainfall totals in the hardest hit areas have a 0.2% chance of occurring in any given year: a 1 in 500 year event. More than 30,000 people were rescued from the floodwaters that damaged or destroyed over 50,000 homes, 100,000 vehicles and 20,000 businesses. This is the most damaging U.S. flood event since Superstorm Sandy impacted the Northeast in 2012.",$11.70,,13
Severe Storm,61,Rockies and Northeast Severe Weather, Jul 2016,Y,28 07 2016,30 07 2016,"Severe storms across the Rockies and Northeastern states (CO, WY, VA, MD, PA, NJ, NY) caused large hail and high wind damage. Storm damage in Colorado was the most costly due to hail.",$1.70,,0
Flooding,64,West Virginia Flooding and Ohio Valley Tornadoes, Jun 2016,,22 06 2016,24 06 2016,"Torrential rainfall caused destructive flooding through many West Virginia towns, damaging thousands of homes and businesses and causing considerable loss of life. Over 1,500 roads and bridges were damaged or destroyed making the impact on infrastructure comparable to the historic 2013 Colorado flood. The storm system also produced numerous tornadoes causing damage across several Ohio Valley states.",$1.10,,23
Severe Storm,67,Rockies/ Central Tornadoes and Severe Weather, May 2016,Y,21 05 2016,26 05 2016,"Sustained period of severe thunderstorms and tornadoes affecting several states including Montana, Colorado, Kansas, Missouri and Texas. The most concentrated days for tornado development were on May 22 and 24. Additional damage was created by straight-line high wind and hail damage.",$1.30,,0
Severe Storm,70,Plains Tornadoes and Central Severe Weather, May 2016,Y,8 05 2016,11 05 2016,"Tornadoes and severe storms cause widespread damage across the Plains and Central states (NE, MO, TX, OK, KS, CO, IL, KY, TN) over a multi-day period. The damage from tornadoes and high wind was most costly in Nebraska and Missouri.",$2.00,,2
Severe Storm,73,South/ Southeast Tornadoes, Apr 2016,Y,26 04 2016,2 05 2016,Large outbreak of tornadoes affects numerous states across the South and Southeast. Additional damage also from large hail and straight-line wind during the multi-day thunderstorm event.,$2.80,,6
Flooding,76,Houston Flooding, Apr 2016,Y,17 04 2016,18 04 2016,"A period of extreme rainfall up to 17 inches created widespread urban flooding in Houston and surrounding suburbs. Thousands of homes and businesses were damaged and more than 1,800 high water rescues were conducted. This represents the most widespread flooding event to affect Houston since Tropical Storm Allison in 2001.",$3.10,,8
Severe Storm,79,North/ Central Texas Hail Storm, Apr 2016,Y,10 04 2016,12 04 2016,"Widespread severe hail damage across north and central Texas including the cities of Plano, Wylie, Frisco, Allen and San Antonio. The damage in San Antonio was particularly severe as the National Weather Service verified reports of hail size reaching 4.5 inches in diameter. This ranks as one of the most costly hail events to affect the United States.",$4.10,,0
Severe Storm,82,North Texas Hail Storm, Mar 2016,Y,23 03 2016,24 03 2016,"Large hail and strong winds caused considerable damage in heavily populated areas of north Texas. This damage was most notable in the cities of Dallas, Fort Worth and Plano.",$2.40,,0
Severe Storm,85,Southern Severe Weather, Mar 2016,Y,17 03 2016,18 03 2016,"Severe hail impacts the Fort Worth and Arlington metro region in Texas. Additional large hail and high wind damage occurred in other locations of Texas, Louisiana and Mississippi.",$1.40,,1
Flooding,88,Texas and Louisiana Flooding, Mar 2016,Y,8 03 2016,12 03 2016,"Multiple days of heavy rainfall averaging 15 to 20 inches led to widespread flooding along the Sabine River basin on the Texas and Louisiana border. This prompted numerous evacuations, high-water rescues and destruction, as more than 1,000 homes and businesses were damaged or destroyed.",$2.70,,5
Severe Storm,91,Southeast and Eastern Tornadoes, Feb 2016,Y,22 02 2016,24 02 2016,"Early outbreak of tornadoes and severe weather across many southern and eastern states including (AL, CT, FL, GA, LA, MA, MD, MS, NC, NJ, NY, PA, SC, TX, VA). There were at least 50 confirmed tornadoes causing widespread damage.",$1.20,,10
Drought,94,Western Drought, Jul 1905,Y,1 01 2015,31 12 2015,"Drought conditions were present across numerous western states (CA, NV, OR, WA, ID, MT, UT, AZ) with the most severe conditions continuing to plague California for all of 2015. The agriculture sector was again impacted by a lack of rainfall resulting in hundreds of thousands of acres of farmland remaining fallow and requiring excess groundwater pumping to irrigate existing agriculture interests. Wildfire conditions were further enhanced by the ongoing drought. California experienced extensive damage from both drought and wildfire impacts. Drought conditions did improve dramatically across Texas and Oklahoma, in the form of several major flood events.",$5.30,,0
Severe Storm,97,Texas Tornadoes and Midwest Flooding, Dec 2015,Y,26 12 2015,29 12 2015,"A powerful storm system packing unseasonably strong tornadoes caused widespread destruction in the Dallas metropolitan region, damaging well over 1,000 homes and businesses. This same potent system also produced intense rainfall over several Midwestern states triggering historic flooding that has approached or broken records at river gauges in several states (MO, IL, AR, TN, MS, LA). The flooding has overtopped levees and caused damage in numerous areas. This historic storm also produced high wind, snow and ice impacts from New Mexico through the Midwest and into New England. Overall, the storm caused at least 50 deaths from the combined impact of tornadoes, flooding and winter weather.",$2.30,,50
Wildfire,100,Western and Alaskan Wildfires,Summer-Fall 2015,Y,1 06 2015,30 11 2015,"Wildfires burned over 10.1 million acres across the U.S. in 2015, surpassing 2006 for the highest annual total of U.S. acreage burned since record-keeping began in 1960. The most costly wildfires occurred in California where over 2,500 structures were destroyed due to the Valley and Butte wildfires with the insured losses alone exceeding $1.0 ($1.2) billion. The most extensive wildfires occurred in Alaska where over 5 million acres burned within the state. There was extensive burnt acreage across other western states, most notably (OR, WA, ID, MT, ND, CO, WY, TX).",$3.60,,12
Flooding,103,South Carolina and East Coast Flooding, Oct 2015,Y,1 10 2015,5 10 2015,"Historic levels of flooding impacted South Carolina causing widespread damage to many homes, businesses, public buildings and infrastructure. This interrupted commerce and closed major transportation corridors (such as I-95) for weeks as rivers slowly receded. Locally extreme rainfall totals exceeding 20-inches were common resulting from the convergence of a powerful low pressure system / frontal boundary and copious moisture from Hurricane Joaquin in the Atlantic.",$2.40,,25
Severe Weather,106,Central and Northeast Severe Weather, Jun 2015,Y,21 06 2015,25 06 2015,"Severe storms across numerous Central and Northeast states (CO, CT, IA, IL, MD, MI, NJ, NY, PA, SD, VA, WI) with widespread hail and high wind damage.",$1.40,,1
Flooding,109,Texas and Oklahoma Flooding and Severe Weather, May 2015,Y,23 05 2015,26 05 2015,"A slow-moving system caused tremendous rainfall and subsequent flooding to occur in Texas and Oklahoma. The Blanco river in Texas swelled from 5 feet to a crest of more than 40 feet over several hours causing considerable property damage and loss of life. The city of Houston also experienced flooding which resulted in hundreds of high-water rescues. The damage in Texas alone exceeded $1.0 ($1.2) billion. There was also damage in other states (KS, CO, AR, OH, LA, GA, SC) from associated severe storms.",$3.00,,31
Severe Storm,112,Southern Plains Tornadoes, May 2015,Y,6 05 2015,10 05 2015,"Tornado outbreak across the Southern Plain states (IA, KS, NE, OK, CO, SD, TX) with 122 tornadoes. The most costly damage occurred across Texas and Oklahoma.",$1.50,,4
Severe Weather,115,South and Southeast Severe Weather, Apr 2015,Y,24 04 2015,25 04 2015,"Severe weather produced tornadoes, large hail and high wind damage across numerous southern and southeastern states including Alabama, Florida, Georgia, Kentucky, Louisiana, Mississippi and Texas. These storms caused widespread impacts to many homes, vehicles and businesses.",$1.10,Y,3
Severe Weather,118,South/ Southeast Severe Weather, Apr 2015,Y,18 04 2015,20 04 2015,"Severe storms across the South and Southeastern states (AL, AR, FL, GA, KS, LA, MS, NC, OK, SC, TN, TX). High winds and severe hail created the most significant damage in Texas.",$1.50,,0
Severe Weather,121,Midwest/ Ohio Valley Severe Weather, Apr 2015,Y,7 04 2015,9 04 2015,"Severe storms across the Midwest and Ohio Valley including the states (AR, IA, IL, IN, KS, KY, MI, MO, NC, OH, OK, PA, TN, TX, WI, WV). Large hail and high winds created the most damage across Missouri and Illinois.",$1.90,,2
Winter Storm,124,"Central and Eastern Winter storm, Cold Wave", Feb 2015,Y,14 02 2015,20 02 2015,"A large winter storm and associated cold wave impacted many central, eastern and northeastern states (CT, DE, GA, IL, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA). The city of Boston was particularly impacted as feet of snow continued to accumulate causing load-stress on buildings and clogging transportation corridors. Total, direct losses in Massachusetts alone exceed $1.0 ($1.2) billion for this event, with considerable damage in many other states.",$3.50,,30
Drought,127,Western Drought, Jul 1905,Y,1 01 2014,31 12 2014,"Historic drought conditions affected the majority of California for all of 2014 making it the worst drought on record for the state. Surrounding states and parts of Texas, Oklahoma and Kansas also experienced continued severe drought conditions. This is a continuation of drought conditions that have persisted for several years.",$4.70,,0
Severe Weather,130,Rockies/ Plains Severe Weather, Sep 2014,Y,29 09 2014,2 10 2014,"Severe storms across the Rockies and Plains states (CO, KS, TX). Large hail and high winds created significant damage across eastern Colorado and Texas, particularly in the Dallas metro area.",$1.70,,0
Flooding,133,Michigan and Northeast Flooding, Aug 2014,Y,11 08 2014,13 08 2014,"Heavy rainfall in excess of 5 inches caused significant flooding in cities across Michigan damaging thousands of cars, business, homes and other infrastructure. Flooding also occurred across Maryland and New York's Long Island, as the slow-moving storm system delivered 24-hour rainfall exceeding 6 and 12 inches, respectively, creating more flood damage. Islip, NY received 13.57 inches of rain over a 24-hour period on Aug 12-13 setting a new 24-hour precipitation record for New York.",$1.20,,2
Severe Weather,136,Rockies/ Central Plains Severe Weather, Jun 2014,Y,3 06 2014,5 06 2014,"Severe storms across the Rockies and Central Plains states (NE, KS, WY, IA, AR). Wind gusts exceeding 90 mph and baseball to softball sized hail caused severe damage to structures and vehicles in central and eastern Nebraska.",$2.30,,2
Severe Weather,139,Rockies/ Midwest/ Eastern Severe Weather, May 2014,Y,18 05 2014,23 05 2014,"Severe storms across the Rockies, Midwest and Eastern states (CO, MT, IA, IL, IN, OH, SC, VA, PA, DE, NY) with the most costly damage in Colorado, Illinois and Pennsylvania.",$4.40,,0
Severe Storm,142,Midwest/ Southeast/ Northeast Tornadoes and Flooding, Apr 2014,Y,27 04 2014,1 05 2014,"Tornado outbreak across the Midwest, Southeast and Northeast states (AL, AR, DE, FL, GA, KS, MD, MO, MS, NC, NJ, NY, PA, TN, VA) with 83 confirmed tornadoes. Mississippi had its 3rd greatest number of tornadoes reported for any day since 1950. Torrential rainfall in the Florida panhandle also caused major flooding, as Pensacola set new 1-day and 2-day precipitation records of 15.55 and 20.47 inches, respectively. Flooding rains were also reported in coastal Alabama, as Mobile received 11.24 inches of rain, the third greatest calendar day rainfall total for the city.",$2.10,,33
Severe Weather,145,Central Severe Weather, Apr 2014,Y,12 04 2014,13 04 2014,"Severe weather produced hail and high wind damage across several central states including Illinois, Iowa, Michigan, Wisconsin and Texas. The damage was most focused in Illinois and Michigan, as storms caused impacts to many homes, vehicles and businesses.",$1.10,Y,0
Severe Weather,148,Plains Severe Weather, Apr 2014,Y,2 04 2014,3 04 2014,"Severe storms across the Plains states (IL, KS, MO, TX) causing considerable hail and wind damage in Texas.",$1.70,,0
Winter Storm,151,Midwest/ Southeast/ Northeast Winter Storm, Jan 2014,Y,5 01 2014,8 01 2014,"Winter storm caused widespread damage across numerous Midwest, Southeast and Northeastern states (AL, GA, IL, IN, KY, MD, MI, MO, MS, NC, NJ, NY, OH, PA, SC, TN, VA).",$2.60,,16
Drought,154,Western/ Plains Drought/ Heat Wave,Spring-Fall 2013,Y,1 03 2013,30 11 2013,"The 2013 drought slowly dissipated from the historic levels of the 2012 drought, as conditions improved across many Midwestern and Plains states. However, moderate to extreme drought did remain or expand into western states (AZ, CA, CO, IA, ID, IL, KS, MI, MN, MO, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY). In comparison to 2011 and 2012 drought conditions the US experienced only moderate crop losses across the central agriculture states.",$12.60,,53
Severe Storm,157,Ohio Valley Tornadoes, Nov 2013,Y,17 11 2013,17 11 2013,"Late-season outbreak of tornadoes and severe weather over the Ohio Valley (IL, IN, KY, MI, MO, OH) with 70 confirmed tornadoes. Most severe impacts occurred across Illinois and Indiana.",$1.30,,8
Flooding,160,Colorado Flooding, Sep 2013,,10 09 2013,16 09 2013,"A stalled frontal boundary over Colorado led to record rainfall, as some areas received > 15 inches over several days. This resulted in historic flooding across numerous cities and towns. Destruction of residences, businesses and transportation infrastructure was widespread.",$1.80,,9
Severe Weather,163,Midwest Severe Weather, Aug 2013,Y,6 08 2013,7 08 2013,Severe weather and large hail causes considerable damage across Minnesota and Wisconsin.,$1.30,,0
Severe Storm,166,Midwest/ Plains/ Northeast Tornadoes, May 2013,Y,27 05 2013,31 05 2013,"Outbreak of tornadoes and severe weather over the Midwest, Plains and Northeast (IL, IN, KS, MO, NY, OK, TX) with 92 confirmed tornadoes including the deadly tornado that struck El Reno, OK. There was also significant damage resulting from hail and straight-line wind.",$2.20,,10
Severe Storm,169,Midwest/ Plains/ East Tornadoes, May 2013,Y,18 05 2013,22 05 2013,"Outbreak of tornadoes and severe weather over the Midwest, Plains and Eastern states (GA, IA, IL, KS, MO, NY, OK, TX) with 59 confirmed tornadoes including the deadly tornado that impacted Moore, OK. Many destructive tornadoes remained on the ground for an extended time.",$2.90,,27
Flooding,172,Illinois Flooding and Severe Weather, Apr 2013,Y,16 04 2013,19 04 2013,A slow-moving storm system created rainfall totals of 5 to 10 inches across northern and central Illinois including the Chicago metro. This resulted in damage to many homes and businesses. There was also severe weather damage from wind and hail across Indiana and Missouri.,$1.30,,4
